name,position,team,games_played,pass_yds,pass_td,rush_yds,rush_td,rec,rec_yds,rec_td,return_td,off_fumble_return_td,two_pt,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,pat_made,def_td,def_safety,def_return_td,def_xp_returned,def_points_allowed
A.J. Brown,WR,NE,15.0,0.0,0.0,0.0,0.0,78.0,1003.0,7.0,0.0,0,0.0,,,,,,,,,,,
AJ Barner,TE,SEA,17.0,0.0,0.0,14.0,1.0,52.0,519.0,6.0,0.0,0,0.0,,,,,,,,,,,
AJ Dillon,RB,CAR,7.0,0.0,0.0,60.0,0.0,3.0,21.0,0.0,0.0,0,0.0,,,,,,,,,,,
Aaron Jones Sr.,RB,MIN,12.0,0.0,0.0,548.0,2.0,28.0,199.0,1.0,0.0,0,0.0,,,,,,,,,,,
Aaron Rodgers,QB,PIT,16.0,3322.0,24.0,61.0,1.0,1.0,-9.0,0.0,0.0,0,0.0,,,,,,,,,,,
Adam Thielen,WR,MIN,16.0,0.0,0.0,0.0,0.0,19.0,186.0,0.0,0.0,0,1.0,,,,,,,,,,,
Adam Trautman,TE,DEN,17.0,0.0,0.0,0.0,0.0,20.0,195.0,1.0,0.0,0,0.0,,,,,,,,,,,
Alec Pierce,WR,IND,15.0,0.0,0.0,0.0,0.0,47.0,1003.0,6.0,0.0,0,0.0,,,,,,,,,,,
Alvin Kamara,RB,NO,11.0,0.0,0.0,471.0,1.0,33.0,186.0,0.0,0.0,0,0.0,,,,,,,,,,,
Ameer Abdullah,RB,JAX,13.0,0.0,0.0,60.0,1.0,16.0,99.0,0.0,0.0,0,0.0,,,,,,,,,,,
Amon-Ra St. Brown,WR,DET,17.0,0.0,0.0,9.0,0.0,117.0,1401.0,11.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
