flock_list_no,name,position,team,age,games_played,snap_pct,fpts,pos_rank,overall_rank
333,Russell Wilson,QB,,37.6,6,52.88,8.31,44,44
334,Roschon Johnson,RB,CHI,25.4,7,0.86,0.24,112,425
335,C.J. Daniels,WR,LAR,24.0,,,,,
336,Jordan Whittington,WR,LAR,25.8,17,38.19,2.14,151,259
337,Sam Howell,QB,DAL,25.8,0,,0.0,,
338,Spencer Rattler,QB,NO,25.8,9,75.5,11.02,38,36
339,Dillon Gabriel,QB,CLE,25.5,10,56.57,7.01,47,40
340,Damien Martinez,RB,GB,22.4,,,,,
208,Cole Kmet,TE,CHI,27.3,16,70.18,4.92,41,173
342,Garrett Nussmeier,QB,KC,24.4,,,,,
241,Justice Hill,RB,BAL,28.7,10,37.0,6.52,54,195
344,Treylon Burks,WR,WAS,26.3,8,59.91,3.63,115,285
345,Lewis Bond,WR,HOU,23.0,,,,,
346,Curtis Samuel,WR,,29.9,6,40.0,3.52,118,307
347,Cyrus Allen,WR,KC,23.0,,,,,
348,Tai Felton,WR,MIN,23.3,17,3.66,0.32,198,387
349,Amari Cooper,WR,,32.1,,,,,
307,Marcus Mariota,QB,WAS,32.7,11,75.14,11.41,36,31
351,Will Levis,QB,TEN,27.0,,,,,
194,Devin Singletary,RB,NYG,28.8,17,26.95,6.4,55,130
353,Andrei Iosivas,WR,CIN,26.7,17,77.73,5.29,92,152
188,Dawson Knox,TE,BUF,29.7,17,57.99,6.1,34,132
355,Jimmy Horn Jr.,WR,CAR,23.8,13,19.03,2.21,149,286
356,Adam Thielen,WR,,35.9,16,37.24,2.64,140,248
357,Austin Ekeler,RB,,31.1,2,51.11,6.55,,
305,Jameis Winston,QB,NYG,32.5,3,69.86,14.43,,
289,Jake Tonges,TE,SF,27.0,17,34.48,5.49,37,144
360,Antonio Gibson,RB,,28.0,5,16.88,3.44,78,325
361,Deuce Vaughn,RB,,24.7,,,,,
362,Cole Payton,QB,,20.0,,,,,
363,Daniel Bellinger,TE,TEN,25.8,16,50.46,3.73,46,206
364,Will Howard,QB,PIT,24.8,0,,0.0,,
365,DeAndre Hopkins,WR,,34.1,17,33.63,3.94,112,193
366,Darren Waller,TE,,33.8,9,45.5,9.86,17,156
367,Malachi Corley,WR,CLE,24.3,13,24.55,2.43,144,273
368,Emari Demercado,RB,KC,27.5,13,22.1,4.48,67,209
369,Tyler Lockett,WR,,33.8,17,50.3,3.95,111,192
370,Phil Mafah,RB,DAL,23.7,1,16.66,10.9,,
